"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7164","Radio Btn1 Functionality Check @sanity","chromium","2026-04-05","passed","2026-04-05","","Radio.spec.ts","",""
"","35000","WebTable Functionality Check @sanity","chromium","2026-04-05","broken","2026-04-05","","WebTable.spec.ts","",""
